GEO_ID,NAME,Estimate!!Total!!Population 3 years and over enrolled in school
34001,"Atlantic County, New Jersey",64709
34003,"Bergen County, New Jersey",226202
34005,"Burlington County, New Jersey",104585
34007,"Camden County, New Jersey",124209
34009,"Cape May County, New Jersey",16739
34011,"Cumberland County, New Jersey",36331
34013,"Essex County, New Jersey",207973
34015,"Gloucester County, New Jersey",72628
34017,"Hudson County, New Jersey",149503
34019,"Hunterdon County, New Jersey",28902
34021,"Mercer County, New Jersey",97552
34023,"Middlesex County, New Jersey",216530
34025,"Monmouth County, New Jersey",152161
34027,"Morris County, New Jersey",121470
34029,"Ocean County, New Jersey",149163
34031,"Passaic County, New Jersey",131217
34033,"Salem County, New Jersey",13767
34035,"Somerset County, New Jersey",82455
34037,"Sussex County, New Jersey",31989
34039,"Union County, New Jersey",139130
34041,"Warren County, New Jersey",24970
