wkt_geom,Entity,Code,Year,"Railways, passengers carried * km traveled (million passenger-km)"
NULL,Albania,ALB,2015,6989999.771
NULL,Algeria,DZA,2015,1.27E+09
NULL,Argentina,ARG,2015,6883565430
NULL,Armenia,ARM,2015,4.40E+07
NULL,Australia,AUS,2015,16016860352
NULL,Austria,AUT,2015,1.22E+10
NULL,Azerbaijan,AZE,2015,4.95E+08
NULL,Bangladesh,BGD,2015,8.71E+09
NULL,Belarus,BLR,2015,7.12E+09
NULL,Belgium,BEL,2015,1.03E+10
NULL,Bosnia and Herzegovina,BIH,2015,3.40E+07
NULL,Brazil,BRA,2015,1.59E+10
NULL,Bulgaria,BGR,2015,1.55E+09
NULL,Canada,CAN,2015,1.35E+09
NULL,Chile,CHL,2015,584365966.8
NULL,China,CHN,2015,1.20E+12
NULL,Croatia,HRV,2015,9.51E+08
NULL,Czechia,CZE,2015,8298112305
NULL,Democratic Republic of Congo,COD,2015,16700000.76
NULL,Denmark,DNK,2015,6.81E+09
NULL,East Asia and Pacific,,2015,16016860352
NULL,Estonia,EST,2015,2.89E+08
NULL,Europe and Central Asia,,2015,4.04E+09
NULL,European Union,,2015,5978500000
NULL,Finland,FIN,2015,4.11E+09
NULL,France,FRA,2015,1.05E+11
NULL,Gabon,GAB,2015,1.12E+08
NULL,Georgia,GEO,2015,464600006.1
NULL,Germany,DEU,2015,9.16E+10
NULL,Greece,GRC,2015,1.26E+09
NULL,High income,,2015,7953636719
NULL,Hungary,HUN,2015,7609161133
NULL,India,IND,2015,1.14E+12
NULL,Indonesia,IDN,2015,2.23E+10
NULL,Iran,IRN,2015,1.49E+10
NULL,Ireland,IRL,2015,1.92E+09
NULL,Israel,ISR,2015,2608100098
NULL,Italy,ITA,2015,5.22E+10
NULL,Japan,JPN,2015,4.27E+11
NULL,Kazakhstan,KAZ,2015,1.71E+10
NULL,Kyrgyzstan,KGZ,2015,4.10E+07
NULL,Latvia,LVA,2015,5.91E+08
NULL,Lithuania,LTU,2015,3.61E+08
NULL,Luxembourg,LUX,2015,3.83E+08
NULL,Malaysia,MYS,2015,1964330200
NULL,Mexico,MEX,2015,1.41E+09
NULL,Moldova,MDA,2015,1.81E+08
NULL,Mongolia,MNG,2015,996739990.2
NULL,Montenegro,MNE,2015,8.10E+07
NULL,Morocco,MAR,2015,5.51E+09
NULL,Netherlands,NLD,2015,1.77E+10
NULL,North America,,2015,18696437500
NULL,North Macedonia,MKD,2015,1.78E+08
NULL,Norway,NOR,2015,4.32E+09
NULL,Pakistan,PAK,2015,2.03E+10
NULL,Philippines,PHL,2015,3.42E+08
NULL,Poland,POL,2015,1.74E+10
NULL,Portugal,PRT,2015,3.96E+09
NULL,Romania,ROU,2015,5.15E+09
NULL,Russia,RUS,2015,1.21E+11
NULL,Serbia,SRB,2015,5.09E+08
NULL,Slovakia,SVK,2015,3.41E+09
NULL,Slovenia,SVN,2015,7.09E+08
NULL,South Asia,,2015,14499500000
NULL,South Korea,KOR,2015,6.84E+10
NULL,Spain,ESP,2015,2.61E+10
NULL,Sri Lanka,LKA,2015,7407390137
NULL,Sweden,SWE,2015,1.27E+10
NULL,Switzerland,CHE,2015,2.04E+10
NULL,Tajikistan,TJK,2015,1.60E+07
NULL,Thailand,THA,2015,6.18E+09
NULL,Tunisia,TUN,2015,1.25E+09
NULL,Turkey,TUR,2015,8.33E+09
NULL,Turkmenistan,TKM,2015,2.33E+09
NULL,Ukraine,UKR,2015,3.54E+10
NULL,United Kingdom,GBR,2015,76787835938
NULL,United States,USA,2015,36043875000
NULL,Upper middle income,,2015,1758165039
NULL,Uruguay,URY,2015,8.00E+06
NULL,Uzbekistan,UZB,2015,3.76E+09
NULL,Vietnam,VNM,2015,4233879883
